"id_comuna","id_region","comuna","despacho","webpay","_tx"
289,12,CABO DE HORNOS,1,0,1
290,12,ANTÁRTICA,1,0,1
291,13,COLINA,1,0,1
292,13,LAMPA,1,0,1
293,13,TILTIL,1,0,1
294,13,QUILICURA,1,0,1
295,13,PUDAHUEL,1,0,1
296,13,CONCHALÍ,1,0,1
297,13,HUECHURABA,1,0,1
298,13,RENCA,1,0,1
299,13,QUINTA NORMAL,1,0,1
300,13,CERRO NAVIA,1,0,1
301,13,LO PRADO,1,0,1
302,13,INDEPENDENCIA,1,0,1
303,13,RECOLETA,1,0,1
304,13,ESTACIÓN CENTRAL,1,0,1
305,13,MAIPÚ,1,0,1
306,13,CERRILLOS,1,0,1
307,13,SANTIAGO,1,1,1
308,13,SAN BERNARDO,1,0,1
309,13,CALERA DE TANGO,1,0,1
310,13,BUIN,1,0,1
311,13,PAINE,1,0,1
312,13,MELIPILLA,1,0,1
313,13,ALHUÉ,1,0,1
314,13,CURACAVÍ,1,0,1
315,13,MARÍA PINTO,1,0,1
316,13,SAN PEDRO,1,0,1
317,13,TALAGANTE,1,0,1
318,13,PEÑAFLOR,1,0,1
319,13,EL MONTE,1,0,1
320,13,ISLA DE MAIPO,1,0,1
321,13,PADRE HURTADO,1,0,1
322,13,ÑUÑOA,1,1,1
323,13,PROVIDENCIA,1,1,1
324,13,LAS CONDES,1,1,1
325,13,VITACURA,1,1,1
326,13,LO BARNECHEA,1,1,1
327,13,PEÑALOLÉN,1,1,1
328,13,LA REINA,1,1,1
329,13,LA GRANJA,1,0,1
330,13,SAN JOAQUÍN,1,0,1
331,13,MACUL,1,1,1
332,13,LA FLORIDA,1,1,1
333,13,LA CISTERNA,1,0,1
334,13,EL BOSQUE,1,0,1
335,13,SAN RAMÓN,1,0,1
336,13,LO ESPEJO,1,0,1
337,13,SAN MIGUEL,1,0,1
338,13,PEDRO AGUIRRE CERDA,1,0,1
339,13,LA PINTANA,1,0,1
340,13,PUENTE ALTO,1,0,1
341,13,PIRQUE,1,0,1
342,13,SAN JOSÉ DE MAIPO,1,0,1
343,8,HUALPEN,1,0,1
345,1,ALTO HOSPICIO,1,0,1
392,8,ALTO BIOBIO,1,0,1
400,9,CHOLCHOL,1,0,1
401,14,MAFIL,1,0,1
