"id_ciudad","id_region","ciudad","origen","destino","_tx"
1261,10,ENTRE LAGOS,0,1,1
1262,10,ENSENADA,0,1,1
1264,10,FUTALEUFU,1,1,1
1266,10,HUALAIHUE,0,1,1
1267,10,HORNOPIREN,0,1,1
1270,10,MEHUIN,0,1,1
1275,14,NELTUME,0,1,1
1276,10,PALENA,0,1,1
1277,10,PETROHUE,0,1,1
1278,10,QUINCHAO,1,1,1
1280,10,QUEILEN,0,1,1
1285,10,SAN JUAN DE LA COSTA,0,1,1
1286,10,TRUMAO,0,1,1
1287,10,ACHAO,0,1,1
1288,10,CHAITEN,0,1,1
1289,10,PARGUA,0,1,1
1290,11,PUERTO AGUIRRE,0,1,1
1292,11,CHILE CHICO,0,1,1
1296,11,GUAITECAS,0,1,1
1298,11,LA JUNTA,0,1,1
1301,11,VILLA MANIHUALES,0,1,1
1302,11,MELINKA,0,1,1
1304,11,VILLA OHIGGINS,0,1,1
1305,11,PUERTO CISNES,0,1,1
1306,11,PUERTO CHACABUCO,0,1,1
1307,11,LAGO VERDE,0,1,1
1308,11,RIO IBANEZ,0,1,1
1310,11,PUERTO BERTRAND,0,1,1
1311,11,TORTEL,0,1,1
1312,11,PUYUHUAPI,0,1,1
1313,12,ANTARTICA,0,1,1
1315,12,CERRO SOMBRERO,0,1,1
1317,12,LAGUNA BLANCA,0,1,1
1319,12,PUERTO NATALES,1,1,1
1320,12,PRIMAVERA,0,1,1
1321,12,PUERTO WILLIAMS,0,1,1
1323,12,RIO VERDE,0,1,1
1324,12,TORRES DEL PAINE,0,1,1
1325,12,PORVENIR,0,1,1
1327,12,TIMAUKEL,0,1,1
1328,13,FARELLONES,0,1,1
1329,5,PORTILLO,0,1,1
1330,5,SALADILLO,0,1,1
1331,13,ALHUE,0,1,1
1333,13,CHAMPA,0,1,1
1334,5,CURIMON,0,1,1
1336,13,HOSPITAL,0,1,1
1337,13,EL MELOCOTON,0,1,1
1340,13,POLPAICO,0,1,1
1343,13,SAN PEDRO DE MELIPILLA,0,1,1
1345,7,BATUCO (TALCA),0,1,1
1346,13,CODIGUA,0,1,1
1347,13,VALDIVIA DE PAINE,0,1,1
1348,13,ISLA DE PASCUA,1,1,1
1349,5,ISLA JUAN FERNANDEZ,0,1,1
1352,15,GENERAL LAGOS,0,1,1
1353,15,POCONCHILE,0,1,1
1354,15,PUTRE,0,1,1
1356,15,CUYA,0,1,1
1359,4,HACIENDA LOS ANDES,0,1,1
1361,4,LLANOS DE GUANTA,0,1,1
1362,4,QUILIMARI,0,1,1
1363,4,GUANGUALI,0,1,1
1364,4,HUENTELAUQUEN,0,1,1
1365,7,LOS NICHES,0,1,1
1366,7,LO VALDIVIA,0,1,1
1367,8,NIPAS,0,1,1
1368,8,TREHUACO,0,1,1
1372,9,CABURGA,0,1,1
1373,14,MAIHUE,0,1,1
1376,11,PUERTO TRANQUILO,0,1,1
1378,7,RAUQUEN,0,1,1
1379,8,QUIRIQUINA,0,1,1
1380,8,VILLUCO,0,1,1
1381,11,COCHRANE,0,1,1
1384,10,PICHI PELLUCO,0,1,1
1447,8,CHARRUA,0,1,1
1452,13,BATUCO (RM),0,1,1
1463,6,MARCHIHUE,0,1,1
1465,14,CALAFQUEN,0,1,1
1466,14,RINIHUE,0,1,1
1467,14,COZ COZ,0,1,1
1468,14,ROBLE HUACHO,0,1,1
1469,14,CHAUQUEN,0,1,1
1470,8,CAMPANARIO,0,1,1
1471,9,LOS LAURELES,0,1,1
1472,8,RAMADILLAS,0,1,1
1473,9,CHERQUENCO,0,1,1
1474,9,QUEULE,0,1,1
1475,4,ALTOVALSOL,0,1,1
1476,4,EL HINOJAL,0,1,1
1477,4,GABRIELA MISTRAL,0,1,1
1478,4,QUEBRADA DE TALCA,0,1,1
1479,4,LA MARQUESA,0,1,1
1480,4,EL MOLLE,0,1,1
1481,4,EL TAMBO,0,1,1
1482,4,HORCON IV,0,1,1
1483,4,LOS HORNOS,0,1,1
1484,4,PUNTA COLORADA,0,1,1
1485,4,LAS DUNAS,0,1,1
1486,4,PUERTO VELERO,0,1,1
1487,4,EL TANGUE,0,1,1
1488,4,PUERTO ALDEA,0,1,1
1491,4,EL PENON,0,1,1
1492,4,TAMBILLO,0,1,1
1493,4,LAS CARDAS,0,1,1
1494,13,LOMAS DE LO AGUIRRE,0,1,1
1495,13,NOVICIADO,0,1,1
1496,13,LA PARVA,0,1,1
1497,13,CIUDAD DE LOS VALLES,0,1,1
1498,13,EL COLORADO,0,1,1
1499,13,VALLE NEVADO,0,1,1
1500,13,SAN GABRIEL,0,1,1
1501,13,LAS VERTIENTES,0,1,1
1502,13,SAN ALFONSO,0,1,1
1503,13,LO VALDES,0,1,1
1504,13,RUNGUE,0,1,1
1505,13,EL INGENIO,0,1,1
1506,13,LAGUNA ACULEO,0,1,1
1507,13,ALTO EL CANELO,0,1,1
1508,13,HUELQUEN,0,1,1
1512,4,HUAMALATA,0,1,1
1513,4,SOCOS,0,1,1
1514,4,LIMARI,0,1,1
1515,4,CERRILLOS DE TAMAYA,0,1,1
1516,4,RECOLETA IV,0,1,1
1517,4,SAN JULIAN,0,1,1
1518,4,CAREN,0,1,1
1519,4,CHANARAL DE CAREN,0,1,1
1520,4,PEDREGAL,0,1,1
1521,4,TULAHUEN,0,1,1
1522,4,LOS OLIVOS,0,1,1
1523,4,PICHASCA,0,1,1
1524,4,LAS BREAS,0,1,1
1525,4,LAS CARDAS SUR,0,1,1
1526,4,LAS RAMADAS DE TULAHUEN,0,1,1
1527,10,PUNTA CORONA,0,1,1
1528,10,GUAPILACUY,0,1,1
1529,10,YUSTE,0,1,1
1530,10,NAL,0,1,1
1531,10,AHUI,0,1,1
1532,14,PUENTE QUILO,0,1,1
1533,10,QUETALMAHUE,0,1,1
1534,10,LECHAGUA,0,1,1
1535,10,PAULDEO,0,1,1
1536,10,CAULIN,0,1,1
1537,10,MANAO,0,1,1
1538,10,LINAO,0,1,1
1539,10,HUELDEN,0,1,1
1540,10,CHEPU,0,1,1
1541,10,DEGAN,0,1,1
1542,10,HUILLINCO,0,1,1
1543,10,MECHAICO,0,1,1
1544,10,LAJAS BLANCAS,0,1,1
1545,10,PALOMAR,0,1,1
1546,1,LA HAUYCA,0,1,1
1547,1,MAMINA,0,1,1
1548,10,SAN JUAN,0,1,1
2315,15,VISVIRI,0,1,1
2317,15,TIGNAMAR,0,1,1
2318,15,SORA,0,1,1
2319,15,SOCOROMA,0,1,1
2320,15,PACHAMA,0,1,1
2321,15,BELEN,0,1,1
2322,15,MOLINOS,0,1,1
2324,15,ESQUINA,0,1,1
2325,15,CAMARONES,0,1,1
2327,15,CAQUENA,0,1,1
2328,15,COSAPILLA,0,1,1
2329,15,CODPA,0,1,1
2330,1,SOTOCA,0,1,1
2331,1,ANCUAQUE,0,1,1
2332,1,MOCHA,0,1,1
2333,1,LIRIMA,0,1,1
2334,1,CALETA BUENA,0,1,1
2335,1,ISLUGA,0,1,1
2336,1,CAMINA,0,1,1
2337,1,CANCOSA,0,1,1
2338,1,CARIQUIMA,0,1,1
2339,1,COLLACAGUA,0,1,1
2341,2,QUILLAGUA,0,1,1
2342,2,PAPOSO,0,1,1
2344,2,HORNITOS,0,1,1
2345,2,COBIJA,0,1,1
2346,3,ALGARROBAL,0,1,1
2347,3,LA ARENA,0,1,1
2349,4,MONTE GRANDE,0,1,1
2350,4,LA PLACILLA (PUNITAQUI),0,1,1
2353,4,CANTO DE AGUA,0,1,1
2354,4,CONAY,0,1,1
2355,4,CARRIZAL BAJO,0,1,1
2358,4,PICHICUY,0,1,1
2359,5,ALICAHUE,0,1,1
2360,6,SEWELL,0,1,1
2362,6,POPETA,0,1,1
2363,6,LAS NIEVES,0,1,1
2364,6,LA CEBADA,0,1,1
2366,6,EL MANZANO,0,1,1
2368,6,CIRUELOS,0,1,1
2369,8,BUCHUPUREO,0,1,1
2370,8,VEGAS DE ITATA,0,1,1
2372,8,RAFAEL,0,1,1
2373,8,CHOLGUAN,0,1,1
2375,8,CAYUCUPIL,0,1,1
2376,9,ICALMA,0,1,1
2377,9,LIQUINE,0,1,1
2379,9,TROVOLHUE,0,1,1
2381,14,PUNUCAPA,0,1,1
2383,14,CURINANCO,0,1,1
2384,14,RININAHUE,0,1,1
2387,10,PUCATRIHUE,0,1,1
2388,10,PUAUCHO,0,1,1
2389,10,BAHIA MANSA,0,1,1
2390,10,MAICOLPUE,0,1,1
2392,10,LLICO,0,1,1
2393,11,VILLA CERRO CASTILLO,0,1,1
2398,11,BALMACEDA,0,1,1
2401,11,LA TAPERA,0,1,1
2406,12,PUNTA DELGADA,0,1,1
2408,12,PUERTO TORO,0,1,1
2409,12,PUERTO BORIES,0,1,1
2412,12,MONTE AYMOND,0,1,1
2414,12,CAMERON,0,1,1
2416,8,VILLA MERCEDES,0,1,1
2417,8,TRUPAN,0,1,1
2419,8,RIHUE,0,1,1
2420,8,POLCURA,0,1,1
2421,8,PANGAL,0,1,1
2423,8,COIHUE,0,1,1
2424,6,AGUA BUENA,0,1,1
2425,6,TOPOCALMA,0,1,1
2427,6,PUERTECILLO,0,1,1
2428,6,CAHUIL,0,1,1
2429,6,LARMAHUE,0,1,1
2430,6,LA RUFINA,0,1,1
2434,2,SOCAIRE,0,1,1
2435,2,AIQUINA,0,1,1
2437,2,LASANA,0,1,1
2438,2,CASPANA,0,1,1
2439,8,TREGUALEMU,0,1,1
2440,8,TANILVORO,0,1,1
2441,8,RUCAPEQUEN,0,1,1
2442,8,QUINCHAMALI,0,1,1
2443,8,PUEBLO SECO,0,1,1
2444,8,NAHUELTORO,0,1,1
2445,8,MINAS DEL PRADO,0,1,1
2449,10,VILLA SANTA LUCIA,0,1,1
2453,10,CALETA GONZALO,0,1,1
2459,13,SAN MANUEL,0,1,1
2460,13,POMAIRE,0,1,1
2462,13,LOS MAITENES,0,1,1
2463,13,LO CHACON,0,1,1
2464,13,LA OBRA,0,1,1
2465,13,JUNCAL,0,1,1
2466,13,GUAYACAN,0,1,1
